owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description
TeamNewPipe,NewPipe,2015-09-03 23:39:26,2024-06-30 12:19:24,False,75136,Java,3,854,599,29412,2941,8722,11226,2111,6,132,129,A libre lightweight streaming front-end for Android.
sequelize,sequelize,2010-07-22 07:11:11,2024-06-28 03:51:29,False,61817,TypeScript,4,1067,417,29231,4251,10293,11026,6511,49,665,478,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i."
explosion,spaCy,2014-07-03 15:15:40,2024-06-26 07:41:41,False,202523,Python,13,670,557,29173,4326,5609,16134,4005,62,158,123,💫 Industrial-strength Natural Language Processing (NLP) in Python
google,jax,2018-10-25 21:25:02,2024-06-30 05:19:12,False,87977,Python,7,668,327,29008,2652,5293,21625,14230,489,244,107,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more"
kubernetes,minikube,2016-04-15 22:38:35,2024-06-30 13:28:44,False,217900,Go,15,1392,484,28727,4807,9458,24500,9654,5,148,148,Run Kubernetes locally
mattermost,mattermost,2015-06-15 06:50:02,2024-06-30 06:56:51,False,750722,TypeScript,12,972,541,28537,6985,8262,18774,18955,716,1050,576,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..
composer,composer,2011-06-08 08:53:00,2024-06-24 22:42:04,False,27120,PHP,1,986,602,28387,4484,7653,12475,3938,3,200,200,Dependency Manager for PHP
influxdata,influxdb,2013-09-26 14:31:10,2024-06-28 22:50:52,False,195735,Rust,6,615,736,28164,3506,13310,49264,11400,105,443,82,"Scalable datastore for metrics, events, and real-time analytics"
milvus-io,milvus,2019-09-16 06:43:43,2024-06-30 12:26:07,False,190597,Go,12,242,271,28032,2703,11117,20167,21081,122,85,80,"A cloud-native vector database, storage for next generation AI applications"
hashicorp,consul,2013-11-04 22:15:27,2024-06-30 01:32:38,False,479983,Go,11,1792,921,28020,4395,5406,21380,15768,1654,400,174,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure."
Lightning-AI,pytorch-lightning,2019-03-31 00:45:57,2024-06-30 14:15:38,False,131517,Python,8,930,246,27414,3292,6985,10350,10171,103,209,157,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes."
numpy,numpy,2010-09-13 23:02:39,2024-06-30 14:17:56,False,144051,Python,14,1628,595,26992,9597,12537,36282,14227,29,240,113,The fundamental package for scientific computing with Python.
backstage,backstage,2020-01-24 22:39:49,2024-06-30 05:29:38,False,7468135,TypeScript,13,1525,218,26987,5618,5717,55637,18529,459,493,344,Backstage is an open framework for building developer portals
Automattic,mongoose,2010-04-06 21:39:05,2024-06-26 09:00:49,False,126198,JavaScript,4,1018,494,26755,3797,10732,21175,3678,125,866,138,MongoDB object modeling designed to work in an asynchronous environment.
angular,angular-cli,2015-06-04 19:49:37,2024-06-29 21:12:21,False,171123,TypeScript,8,644,998,26660,11978,15275,15165,12260,26,869,719,CLI tool for Angular
mpv-player,mpv,2012-10-13 08:08:44,2024-06-29 18:19:15,False,104326,C,9,480,501,26659,2833,9832,52663,4412,41,85,85,🎥 Command line video player
llvm,llvm-project,2016-12-07 09:39:33,2024-06-30 14:30:36,False,3044794,LLVM,54,4042,591,26656,10921,71956,503423,24489,515,268,109,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
servo,servo,2012-02-08 19:07:25,2024-06-30 12:22:02,False,1381282,HTML,25,1196,497,26451,2932,12389,48604,20150,116,5,0,"Servo, the embeddable, independent, memory-safe, modular, parallel web rendering engine"
directus,directus,2012-12-12 01:35:36,2024-06-30 11:05:14,False,397158,TypeScript,8,393,306,26399,3661,8175,11910,8128,166,383,304,The Modern Data Stack 🐰 — Directus is an instant REST+GraphQL API and intuitive no-code data collaboration app for any SQL database.
nextcloud,server,2016-06-02 07:44:14,2024-06-30 13:23:34,False,4397662,PHP,12,1049,553,26102,3926,18356,75073,26483,425,1008,242,"☁️ Nextcloud server, a safe home for all your data"
hashicorp,vagrant,2010-01-21 08:34:27,2024-06-28 22:20:35,False,80695,Ruby,14,2005,721,26012,4413,9485,16729,3843,103,278,120,Vagrant is a tool for building and distributing development environments.
